run,epoch,train_loss,train_acc,test_loss,test_acc
baseline_cnn_augmented,1,1.5611,42.45,1.2298,55.2
baseline_cnn_augmented,2,1.2508,54.85,0.9909,63.79
baseline_cnn_augmented,3,1.1191,60.39,0.9086,67.34
baseline_cnn_augmented,4,1.0367,63.4,0.845,69.71
baseline_cnn_augmented,5,0.981,65.38,0.8487,70.21
baseline_cnn_augmented,6,0.9412,67.26,0.8251,70.87
baseline_cnn_augmented,7,0.8951,68.88,0.7394,73.79
baseline_cnn_augmented,8,0.8679,69.84,0.7492,73.93
baseline_cnn_augmented,9,0.8322,71.02,0.7049,75.35
baseline_cnn_augmented,10,0.8118,71.8,0.6902,75.46
baseline_cnn_no_augmentation,1,1.4213,48.0,1.2704,54.47
baseline_cnn_no_augmentation,2,1.053,62.59,0.9512,66.25
baseline_cnn_no_augmentation,3,0.9129,67.68,0.8493,70.22
baseline_cnn_no_augmentation,4,0.8216,70.85,0.7639,73.25
baseline_cnn_no_augmentation,5,0.7488,73.8,0.711,74.66
baseline_cnn_no_augmentation,6,0.6969,75.55,0.6952,76.3
baseline_cnn_no_augmentation,7,0.6448,77.37,0.7046,75.19
baseline_cnn_no_augmentation,8,0.5916,78.96,0.6589,77.34
baseline_cnn_no_augmentation,9,0.5567,80.48,0.6522,77.56
baseline_cnn_no_augmentation,10,0.5223,81.7,0.6646,76.96
resnet18_from_scratch,1,1.3808,49.49,1.079,62.09
resnet18_from_scratch,2,0.865,69.48,0.7522,73.94
resnet18_from_scratch,3,0.6699,76.69,0.6974,76.37
resnet18_from_scratch,4,0.568,80.35,0.5571,81.01
resnet18_from_scratch,5,0.4893,83.09,0.5142,82.58
resnet18_pretrained,1,0.3493,88.45,0.1967,93.08
resnet18_pretrained,2,0.1617,94.63,0.168,94.38
resnet18_pretrained,3,0.1128,96.19,0.1724,94.19
resnet18_pretrained,4,0.0869,97.07,0.1639,94.54
resnet18_pretrained,5,0.0689,97.64,0.1648,94.49
